"COUNTRY_AREA_TERRITORY","MMWR_WEEKSTARTDATE","ILI_CASE","ILI_OUTPATIENTS","SARI_CASE","SARI_INPATIENTS","ili_1000","sari_100","MMWR_WEEK"
"All Country",2011-09-04,148976,2298222,0,0,6.48,0,36
"Bangladesh",2011-09-11,0,0,0,0,0,0,37
"Bhutan",2011-09-11,0,0,0,0,0,0,37
"DPR Korea",2011-09-11,0,0,0,0,0,0,37
"Maldives",2011-09-11,0,0,0,0,0,0,37
"Nepal",2011-09-11,0,0,0,0,0,0,37
"Sri Lanka",2011-09-11,0,0,0,0,0,0,37
"Thailand",2011-09-11,143263,2245593,0,0,6.38,0,37
"Timor-Leste",2011-09-11,0,0,0,0,0,0,37
"All Country",2011-09-11,143263,2245593,0,0,6.38,0,37
"Bangladesh",2011-09-18,0,0,0,0,0,0,38
"Bhutan",2011-09-18,126,8320,15,0,1.51,0,38
"DPR Korea",2011-09-18,0,0,0,0,0,0,38
"Maldives",2011-09-18,0,0,0,0,0,0,38
"Nepal",2011-09-18,0,0,0,0,0,0,38
"Sri Lanka",2011-09-18,0,0,0,0,0,0,38
"Thailand",2011-09-18,144400,2289462,0,0,6.31,0,38
"Timor-Leste",2011-09-18,0,0,0,0,0,0,38
"All Country",2011-09-18,144526,2297782,15,0,6.29,0,38
"Bangladesh",2011-09-25,0,0,0,0,0,0,39
"Bhutan",2011-09-25,0,0,0,0,0,0,39
"DPR Korea",2011-09-25,0,0,0,0,0,0,39
"Maldives",2011-09-25,0,0,0,0,0,0,39
"Nepal",2011-09-25,0,0,0,0,0,0,39
"Sri Lanka",2011-09-25,0,0,0,0,0,0,39
"Thailand",2011-09-25,135962,2194863,0,0,6.19,0,39
"Timor-Leste",2011-09-25,0,0,0,0,0,0,39
"All Country",2011-09-25,135962,2194863,0,0,6.19,0,39
"Bangladesh",2011-10-02,0,0,0,0,0,0,40
"Bhutan",2011-10-02,0,0,0,0,0,0,40
"DPR Korea",2011-10-02,0,0,0,0,0,0,40
"Maldives",2011-10-02,0,0,0,0,0,0,40
"Nepal",2011-10-02,0,0,0,0,0,0,40
"Sri Lanka",2011-10-02,0,0,0,0,0,0,40
"Thailand",2011-10-02,131337,2229238,0,0,5.89,0,40
"Timor-Leste",2011-10-02,0,0,0,0,0,0,40
"All Country",2011-10-02,131337,2229238,0,0,5.89,0,40
"Bangladesh",2011-10-09,0,0,0,0,0,0,41
"Bhutan",2011-10-09,0,0,0,0,0,0,41
"DPR Korea",2011-10-09,0,0,0,0,0,0,41
"Maldives",2011-10-09,0,0,0,0,0,0,41
"Nepal",2011-10-09,0,0,0,0,0,0,41
"Sri Lanka",2011-10-09,0,0,0,0,0,0,41
"Thailand",2011-10-09,115790,2153983,0,0,5.38,0,41
"Timor-Leste",2011-10-09,0,0,0,0,0,0,41
"All Country",2011-10-09,115790,2153983,0,0,5.38,0,41
"Bangladesh",2011-10-16,0,0,0,0,0,0,42
"Bhutan",2011-10-16,0,0,0,0,0,0,42
"DPR Korea",2011-10-16,0,0,0,0,0,0,42
"Maldives",2011-10-16,0,0,0,0,0,0,42
"Nepal",2011-10-16,0,0,0,0,0,0,42
"Sri Lanka",2011-10-16,0,0,0,0,0,0,42
"Thailand",2011-10-16,106174,2243431,0,0,4.73,0,42
"Timor-Leste",2011-10-16,0,0,0,0,0,0,42
"All Country",2011-10-16,106174,2243431,0,0,4.73,0,42
"Bangladesh",2011-10-23,0,0,0,0,0,0,43
"Bhutan",2011-10-23,0,0,0,0,0,0,43
"DPR Korea",2011-10-23,0,0,0,0,0,0,43
"Maldives",2011-10-23,0,0,0,0,0,0,43
"Nepal",2011-10-23,0,0,0,0,0,0,43
"Sri Lanka",2011-10-23,0,0,0,0,0,0,43
"Thailand",2011-10-23,88640,1995787,0,0,4.44,0,43
"Timor-Leste",2011-10-23,0,0,0,0,0,0,43
"All Country",2011-10-23,88640,1995787,0,0,4.44,0,43
"Bangladesh",2011-10-30,0,0,0,0,0,0,44
"Bhutan",2011-10-30,66,6411,2,0,1.03,0,44
"DPR Korea",2011-10-30,0,0,0,0,0,0,44
"Maldives",2011-10-30,0,0,0,0,0,0,44
"Nepal",2011-10-30,0,0,0,0,0,0,44
"Sri Lanka",2011-10-30,0,0,0,0,0,0,44
"Thailand",2011-10-30,83928,2085789,0,0,4.02,0,44
"Timor-Leste",2011-10-30,0,0,0,0,0,0,44
"All Country",2011-10-30,83994,2092200,2,0,4.01,0,44
"Bangladesh",2011-11-06,0,0,0,0,0,0,45
"Bhutan",2011-11-06,40,6098,11,0,0.66,0,45
"DPR Korea",2011-11-06,0,0,0,0,0,0,45
"Maldives",2011-11-06,0,0,0,0,0,0,45
"Nepal",2011-11-06,0,0,0,0,0,0,45
"Sri Lanka",2011-11-06,0,0,0,0,0,0,45
"Thailand",2011-11-06,88486,2073750,0,0,4.27,0,45
"Timor-Leste",2011-11-06,0,0,0,0,0,0,45
"All Country",2011-11-06,88526,2079848,11,0,4.26,0,45
"Bangladesh",2011-11-13,0,0,0,0,0,0,46
"Bhutan",2011-11-13,0,0,0,0,0,0,46
"DPR Korea",2011-11-13,0,0,0,0,0,0,46
"Maldives",2011-11-13,0,0,0,0,0,0,46
"Nepal",2011-11-13,0,0,0,0,0,0,46
"Sri Lanka",2011-11-13,0,0,0,0,0,0,46
"Thailand",2011-11-13,98341,2088284,0,0,4.71,0,46
"Timor-Leste",2011-11-13,0,0,0,0,0,0,46
"All Country",2011-11-13,98341,2088284,0,0,4.71,0,46
"Bangladesh",2011-11-20,0,0,0,0,0,0,47
"Bhutan",2011-11-20,32,7173,7,0,0.45,0,47
"DPR Korea",2011-11-20,0,0,0,0,0,0,47
"Maldives",2011-11-20,0,0,0,0,0,0,47
"Nepal",2011-11-20,0,0,0,0,0,0,47
"Sri Lanka",2011-11-20,0,0,0,0,0,0,47
"Thailand",2011-11-20,95176,1961356,0,0,4.85,0,47
"Timor-Leste",2011-11-20,0,0,0,0,0,0,47
"All Country",2011-11-20,95208,1968529,7,0,4.84,0,47
"Bangladesh",2011-11-27,0,0,0,0,0,0,48
"Bhutan",2011-11-27,0,0,0,0,0,0,48
"DPR Korea",2011-11-27,0,0,0,0,0,0,48
"Maldives",2011-11-27,0,0,0,0,0,0,48
"Nepal",2011-11-27,0,0,0,0,0,0,48
"Sri Lanka",2011-11-27,0,0,0,0,0,0,48
"Thailand",2011-11-27,87377,1953992,0,0,4.47,0,48
"Timor-Leste",2011-11-27,0,0,0,0,0,0,48
"All Country",2011-11-27,87377,1953992,0,0,4.47,0,48
"Bangladesh",2011-12-04,0,0,0,0,0,0,49
"Bhutan",2011-12-04,0,0,0,0,0,0,49
"DPR Korea",2011-12-04,0,0,0,0,0,0,49
"Maldives",2011-12-04,0,0,0,0,0,0,49
"Nepal",2011-12-04,0,0,0,0,0,0,49
"Sri Lanka",2011-12-04,0,0,0,0,0,0,49
"Thailand",2011-12-04,76094,1593371,0,0,4.78,0,49
"Timor-Leste",2011-12-04,0,0,0,0,0,0,49
"All Country",2011-12-04,76094,1593371,0,0,4.78,0,49
"Bangladesh",2011-12-11,0,0,0,0,0,0,50
"Bhutan",2011-12-11,20,3332,9,0,0.6,0,50
"DPR Korea",2011-12-11,0,0,0,0,0,0,50
"Maldives",2011-12-11,0,0,0,0,0,0,50
"Nepal",2011-12-11,0,0,0,0,0,0,50
"Sri Lanka",2011-12-11,0,0,0,0,0,0,50
"Thailand",2011-12-11,93873,1872137,0,0,5.01,0,50
"Timor-Leste",2011-12-11,0,0,0,0,0,0,50
"All Country",2011-12-11,93893,1875469,9,0,5.01,0,50
"Bangladesh",2011-12-18,0,0,0,0,0,0,51
"Bhutan",2011-12-18,0,0,0,0,0,0,51
"DPR Korea",2011-12-18,0,0,0,0,0,0,51
"Maldives",2011-12-18,0,0,0,0,0,0,51
"Nepal",2011-12-18,0,0,0,0,0,0,51
"Sri Lanka",2011-12-18,0,0,0,0,0,0,51
"Thailand",2011-12-18,95626,1989020,0,0,4.81,0,51
"Timor-Leste",2011-12-18,0,0,0,0,0,0,51
"All Country",2011-12-18,95626,1989020,0,0,4.81,0,51
"Bangladesh",2011-12-25,0,0,0,0,0,0,52
"Bhutan",2011-12-25,0,0,0,0,0,0,52
"DPR Korea",2011-12-25,0,0,0,0,0,0,52
"Maldives",2011-12-25,0,0,0,0,0,0,52
"Nepal",2011-12-25,0,0,0,0,0,0,52
"Sri Lanka",2011-12-25,0,0,0,0,0,0,52
"Thailand",2011-12-25,89133,1798729,0,0,4.96,0,52
"Timor-Leste",2011-12-25,0,0,0,0,0,0,52
"All Country",2011-12-25,89133,1798729,0,0,4.96,0,52
"Bangladesh",2012-01-01,0,0,0,0,0,0,1
"Bhutan",2012-01-01,0,0,0,0,0,0,1
"DPR Korea",2012-01-01,0,0,0,0,0,0,1
"Maldives",2012-01-01,0,0,0,0,0,0,1
"Nepal",2012-01-01,0,0,0,0,0,0,1
"Sri Lanka",2012-01-01,0,0,0,0,0,0,1
"Thailand",2012-01-01,97974,2155524,0,0,4.55,0,1
"Timor-Leste",2012-01-01,0,0,0,0,0,0,1
"All Country",2012-01-01,97974,2155524,0,0,4.55,0,1
"Bangladesh",2012-01-08,0,0,0,0,0,0,2
"Bhutan",2012-01-08,61,4721,14,0,1.29,0,2
"DPR Korea",2012-01-08,0,0,0,0,0,0,2
"Maldives",2012-01-08,0,0,0,0,0,0,2
"Nepal",2012-01-08,0,0,0,0,0,0,2
"Sri Lanka",2012-01-08,0,0,0,0,0,0,2
"Thailand",2012-01-08,106661,2146121,0,0,4.97,0,2
"Timor-Leste",2012-01-08,0,0,0,0,0,0,2
"All Country",2012-01-08,106722,2150842,14,0,4.96,0,2
"Bangladesh",2012-01-15,0,0,0,0,0,0,3
"Bhutan",2012-01-15,0,0,0,0,0,0,3
"DPR Korea",2012-01-15,0,0,0,0,0,0,3
"Maldives",2012-01-15,0,0,0,0,0,0,3
"Nepal",2012-01-15,0,0,0,0,0,0,3
"Sri Lanka",2012-01-15,0,0,0,0,0,0,3
"Thailand",2012-01-15,105767,2096512,0,0,5.04,0,3
"Timor-Leste",2012-01-15,0,0,0,0,0,0,3
"All Country",2012-01-15,105767,2096512,0,0,5.04,0,3
"Bangladesh",2012-01-22,0,0,0,0,0,0,4
"Bhutan",2012-01-22,0,0,0,0,0,0,4
"DPR Korea",2012-01-22,0,0,0,0,0,0,4
"Maldives",2012-01-22,0,0,0,0,0,0,4
"Nepal",2012-01-22,0,0,0,0,0,0,4
"Sri Lanka",2012-01-22,0,0,0,0,0,0,4
"Thailand",2012-01-22,100334,2091060,0,0,4.8,0,4
"Timor-Leste",2012-01-22,0,0,0,0,0,0,4
"All Country",2012-01-22,100334,2091060,0,0,4.8,0,4
"Bangladesh",2012-01-29,0,0,0,0,0,0,5
"Bhutan",2012-01-29,0,0,0,0,0,0,5
"DPR Korea",2012-01-29,0,0,0,0,0,0,5
"Maldives",2012-01-29,0,0,0,0,0,0,5
"Nepal",2012-01-29,0,0,0,0,0,0,5
"Sri Lanka",2012-01-29,0,0,0,0,0,0,5
"Thailand",2012-01-29,101513,2046881,0,0,4.96,0,5
"Timor-Leste",2012-01-29,0,0,0,0,0,0,5
"All Country",2012-01-29,101513,2046881,0,0,4.96,0,5
"Bangladesh",2012-02-05,0,0,0,0,0,0,6
"Bhutan",2012-02-05,0,0,0,0,0,0,6
"DPR Korea",2012-02-05,0,0,0,0,0,0,6
