"Attack ID","Attack Date","Attack Time","Country / Territory","Certainty Level","Attack Type","Total Injured","Total Death","HC Facilities","HC Transport","HC Personnel","HC Supplies Assets","HC Warehouse Storage","HC Patients","HC Other","Type of Facility","Facility Other","HW Abduction","HW Arrest","HW Detention","Patient Abduction","Patient Arrest","Patient Detention"
"MMR014349","11/29/2025","Time Unknown","Myanmar","Confirmed","Abduction/Arrest/Detention of health personnel or patients",0,0,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,1,0,0,0,0
"MMR014320","11/24/2025","00:00-06:00","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,6,"YES","NO","NO","NO","NO","NO",NA,"Secondary",NA,0,0,0,0,0,0
"MMR014380","11/19/2025","Time Unknown","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",3,2,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR014378","11/18/2025","Time Unknown","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",10,2,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR014379","11/18/2025","Time Unknown","Myanmar","Confirmed","Armed or violent search of health care personnel, facility or transport, Obstruction to health care delivery (e.g. physical, administrative, legal etc), Removal of health care assets (e.g. transport, supplies, materials)",0,0,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR014319","11/18/2025","12:00-18:00","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",10,2,"YES","NO","YES","YES","YES","YES",NA,"Secondary",NA,0,0,0,0,0,0
"MMR014285","11/13/2025","09:00","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,2,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR014219","11/11/2025","06:00-12:00","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",10,8,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR014125","10/26/2025","12:00-18:00","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,1,"NO","YES","YES","NO","NO","YES",NA,"Other",NA,0,0,0,0,0,0
"MMR014144","10/18/2025","14:35","Myanmar","Confirmed","Obstruction to health care delivery (e.g. physical, administrative, legal etc)",0,1,"NO","NO","YES","YES","NO","YES",NA,"Other",NA,0,0,0,0,0,0
"MMR014158","10/14/2025","Time Unknown","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,"YES","NO","NO","NO","NO","NO",NA,"Primary",NA,0,0,0,0,0,0
"MMR014157","10/14/2025","Time Unknown","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,"YES","NO","NO","NO","NO","NO",NA,"Secondary",NA,0,0,0,0,0,0
"MMR014042","10/07/2025","Time Unknown","Myanmar","Confirmed","Obstruction to health care delivery (e.g. physical, administrative, legal etc), Psychological violence/threat of violence/intimidation",0,1,"NO","NO","NO","YES","NO","YES",NA,NA,NA,0,0,0,0,0,0
"MMR014069","10/04/2025","Time Unknown","Myanmar","Probable","Abduction/Arrest/Detention of health personnel or patients",0,0,"NO","NO","YES","NO","NO","NO",NA,"Other",NA,0,1,0,0,0,0
"MMR014028","10/02/2025","18:00-00:00","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",2,0,"YES","YES","YES","YES","YES","YES",NA,"Primary",NA,0,0,0,0,0,0
"MMR014068","10/02/2025","Time Unknown","Myanmar","Probable","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,"NO","NO","NO","NO","NO","NO","Due to the airstrike in Oct 2025, the office of health partner was damaged. There were no staff injuries or direct threats to health partners. However, due to  the infrastructure damage, the health partner is unable to continue health service delivery and has had to postpone their planned health activities.","Other",NA,0,0,0,0,0,0
"MMR014030","09/30/2025","11:00","Myanmar","Confirmed","Militarization of a health care asset, Obstruction to health care delivery (e.g. physical, administrative, legal etc), Removal of health care assets (e.g. transport, supplies, materials)",0,0,"NO","YES","NO","YES","NO","NO",NA,NA,NA,0,0,0,0,0,0
"MMR013967","09/29/2025","12:00-18:00","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",19,2,"YES","NO","NO","YES","YES","NO",NA,"Secondary",NA,0,0,0,0,0,0
"MMR013856","09/11/2025","00:00-06:00","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR013862","09/04/2025","06:00-12:00","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR013864","09/03/2025","01:30","Myanmar","Possible","Abduction/Arrest/Detention of health personnel or patients, Obstruction to health care delivery (e.g. physical, administrative, legal etc)",0,1,"YES","YES","YES","YES","YES","YES",NA,"Other","Prison",0,0,0,0,0,1
"MMR013863","09/02/2025","06:00-12:00","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR013771","08/25/2025","Time Unknown","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,"YES","YES","YES","YES","NO","YES",NA,NA,NA,0,0,0,0,0,0
"MMR013901","08/23/2025","14:20","Myanmar","Confirmed","Removal of health care assets (e.g. transport, supplies, materials)",0,0,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR013923","08/23/2025","14:15","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",7,1,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR013742","08/17/2025","08:59","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,25,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR013743","08/11/2025","08:21","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR014159","08/04/2025","Time Unknown","Myanmar","Confirmed","Armed or violent search of health care personnel, facility or transport, Obstruction to health care delivery (e.g. physical, administrative, legal etc)",0,0,"YES","YES","NO","YES","NO","YES",NA,"Other",NA,0,0,0,0,0,0
"MMR013689","07/19/2025","Time Unknown","Myanmar","Confirmed","Other",0,1,"YES","YES","YES","YES","NO","YES",NA,NA,NA,0,0,0,0,0,0
"MMR013690","07/19/2025","Time Unknown","Myanmar","Confirmed","Other",0,1,"NO","NO","NO","NO","NO","YES",NA,NA,NA,0,0,0,0,0,0
"MMR013716","07/14/2025","Time Unknown","Myanmar","Confirmed","Armed or violent search of health care personnel, facility or transport, Obstruction to health care delivery (e.g. physical, administrative, legal etc), Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,1,"YES","YES","YES","YES","YES","NO",NA,NA,NA,0,0,0,0,0,0
"MMR013562","07/14/2025","00:00-06:00","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",2,0,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR013744","07/05/2025","18:00-00:00","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR013814","06/22/2025","18:00-00:00","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",12,1,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR013599","06/12/2025","Time Unknown","Myanmar","Confirmed","Armed or violent search of health care personnel, facility or transport, Obstruction to health care delivery (e.g. physical, administrative, legal etc)",0,0,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR013326","06/09/2025","Time Unknown","Myanmar","Confirmed","Abduction/Arrest/Detention of health personnel or patients, Armed or violent search of health care personnel, facility or transport, Criminalization of health care, Obstruction to health care delivery (e.g. physical, administrative, legal etc)",0,0,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,2,0,0,0,0
"MMR013564","06/09/2025","14:35","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",3,1,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR013602","05/30/2025","Time Unknown","Myanmar","Confirmed","Abduction/Arrest/Detention of health personnel or patients",0,0,"YES","YES","YES","YES","YES","YES",NA,"Pharmacy",NA,0,5,0,0,0,0
"MMR013208","05/20/2025","Time Unknown","Myanmar","Confirmed","Abduction/Arrest/Detention of health personnel or patients, Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,"YES","YES","YES","YES","NO","NO",NA,NA,NA,0,2,0,0,0,0
"MMR013816","05/18/2025","06:15","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",2,0,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR013205","05/10/2025","Time Unknown","Myanmar","Confirmed","Abduction/Arrest/Detention of health personnel or patients",0,0,"YES","YES","YES","YES","YES","YES",NA,"Other",NA,0,2,0,0,0,0
"MMR013430","05/05/2025","06:00-12:00","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR013600","05/04/2025","13:35","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR013206","05/03/2025","09:25","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR013431","04/23/2025","11:35","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",2,0,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR013002","04/21/2025","Time Unknown","Myanmar","Confirmed","Abduction/Arrest/Detention of health personnel or patients",0,0,"NO","NO","YES","YES","NO","NO",NA,NA,NA,0,1,0,0,0,0
"MMR013337","04/18/2025","12:00-18:00","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,1,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR013096","03/28/2025","00:00-06:00","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR013360","03/22/2025","06:00-12:00","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,11,"YES","YES","YES","NO","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR013095","03/10/2025","00:00-06:00","Myanmar","Possible","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR013363","02/21/2025","10:05","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",5,0,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR013361","02/15/2025","Time Unknown","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",2,0,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR012822","02/14/2025","12:00-18:00","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",3,3,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR013362","02/14/2025","12:00-18:00","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR012607","02/13/2025","00:00-06:00","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR013364","02/07/2025","Time Unknown","Myanmar","Confirmed","Obstruction to health care delivery (e.g. physical, administrative, legal etc)",0,0,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR012452","01/31/2025","12:00-18:00","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",30,11,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR012451","01/30/2025","09:55","Myanmar","Confirmed","Abduction/Arrest/Detention of health personnel or patients, Obstruction to health care delivery (e.g. physical, administrative, legal etc)",0,0,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,7,0,0,0,0
"MMR012453","01/29/2025","00:00-06:00","Myanmar","Possible","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR012409","01/26/2025","06:00-12:00","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",9,19,"NO","NO","NO","NO","NO","NO",NA,NA,NA,0,0,0,0,0,0
"MMR012410","01/25/2025","00:00-06:00","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",20,2,"YES","YES","YES","YES","YES","YES",NA,"Primary",NA,0,0,0,0,0,0
"MMR013390","01/15/2025","12:00-18:00","Myanmar","Possible","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR013392","01/11/2025","Time Unknown","Myanmar","Confirmed","Armed or violent search of health care personnel, facility or transport, Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",7,0,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR012406","01/11/2025","Time Unknown","Myanmar","Confirmed","Armed or violent search of health care personnel, facility or transport, Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",7,0,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR012407","01/03/2025","Time Unknown","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,1,"NO","NO","NO","NO","NO","NO",NA,NA,NA,0,0,0,0,0,0
"MMR012301","12/31/2024","06:00-12:00","Myanmar","Possible","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",2,0,"YES","NO","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR012098","11/26/2024","06:00-12:00","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,7,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR012099","11/26/2024","06:00-12:00","Myanmar","Possible","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,5,"NO","NO","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR011716","10/08/2024","00:00-06:00","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,"YES","NO","NO","YES","YES","NO",NA,NA,NA,0,0,0,0,0,0
"MMR011903","10/02/2024","14:40","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",1,0,"YES","Unknown","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR011895","09/09/2024","06:00-12:00","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",15,20,"YES","Unknown","YES","YES","YES","YES",NA,"Mobile Clinic",NA,0,0,0,0,0,0
"MMR011904","08/27/2024","12:00-18:00","Myanmar","Possible","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",3,1,"YES","NO","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR011543","08/15/2024","Time Unknown","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,"YES","NO","NO","YES","YES","NO",NA,NA,NA,0,0,0,0,0,0
"MMR013093","08/07/2024","21:00","Myanmar","Confirmed","Abduction/Arrest/Detention of health personnel or patients",0,0,"NO","NO","YES","NO","NO","NO","robbery",NA,NA,0,0,0,0,0,0
"MMR011288","07/22/2024","Time Unknown","Myanmar","Confirmed","Obstruction to health care delivery (e.g. physical, administrative, legal etc), Psychological violence/threat of violence/intimidation",0,0,"YES","YES","NO","YES","NO","YES",NA,NA,NA,0,0,0,0,0,0
"MMR011104","07/10/2024","06:00-12:00","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,9,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR011558","06/05/2024","Time Unknown","Myanmar","Confirmed","Armed or violent search of health care personnel, facility or transport, Obstruction to health care delivery (e.g. physical, administrative, legal etc), Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,"NO","NO","NO","YES","NO","YES",NA,NA,NA,0,0,0,0,0,0
"MMR011106","06/04/2024","06:00-12:00","Myanmar","Confirmed","Armed or violent search of health care personnel, facility or transport, Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",1,0,"YES","NO","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR013085","05/25/2024","Time Unknown","Myanmar","Confirmed","Other",0,0,"YES","NO","NO","YES","NO","NO",NA,NA,NA,0,0,0,0,0,0
"MMR011559","05/15/2024","Time Unknown","Myanmar","Confirmed","Obstruction to health care delivery (e.g. physical, administrative, legal etc)",1,0,"NO","NO","NO","YES","NO","NO",NA,NA,NA,0,0,0,0,0,0
"MMR010898","05/15/2024","12:15","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars), Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",20,0,"YES","Unknown","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR011103","05/08/2024","12:00-18:00","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,2,"YES","NO","NO","YES","YES","NO",NA,NA,NA,0,0,0,0,0,0
"MMR011560","05/08/2024","Time Unknown","Myanmar","Confirmed","Armed or violent search of health care personnel, facility or transport, Obstruction to health care delivery (e.g. physical, administrative, legal etc)",0,0,"NO","NO","NO","YES","NO","YES",NA,NA,NA,0,0,0,0,0,0
"MMR011562","05/02/2024","11:50","Myanmar","Confirmed","Armed or violent search of health care personnel, facility or transport, Obstruction to health care delivery (e.g. physical, administrative, legal etc), Removal of health care assets (e.g. transport, supplies, materials)",0,0,"NO","NO","NO","YES","NO","YES",NA,NA,NA,0,0,0,0,0,0
"MMR010863","04/27/2024","Time Unknown","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,"YES","Unknown","Unknown","YES","Unknown","Unknown",NA,NA,NA,0,0,0,0,0,0
"MMR010865","04/25/2024","Time Unknown","Myanmar","Probable","Removal of health care assets (e.g. transport, supplies, materials), Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",30,5,"YES","YES","YES","YES","NO","YES",NA,NA,NA,0,0,0,0,0,0
"MMR010866","04/24/2024","Time Unknown","Myanmar","Confirmed","Removal of health care assets (e.g. transport, supplies, materials), Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",7,0,"YES","Unknown","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR010775","04/22/2024","Time Unknown","Myanmar","Confirmed","Obstruction to health care delivery (e.g. physical, administrative, legal etc), Removal of health care assets (e.g. transport, supplies, materials)",0,0,"YES","YES","YES","YES","YES","NO",NA,NA,NA,0,0,0,0,0,0
"MMR010758","04/15/2024","Time Unknown","Myanmar","Confirmed","Removal of health care assets (e.g. transport, supplies, materials), Setting fire",0,0,"YES","NO","NO","YES","YES","YES",NA,"Warehouse",NA,0,0,0,0,0,0
"MMR010690","03/27/2024","Time Unknown","Myanmar","Confirmed","Abduction/Arrest/Detention of health personnel or patients",0,0,"YES","NO","YES","NO","NO","NO",NA,"Primary",NA,0,2,0,0,0,0
"MMR010707","03/24/2024","16:30","Myanmar","Confirmed","Removal of health care assets (e.g. transport, supplies, materials), Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,"YES","Unknown","YES","YES","YES","Unknown",NA,NA,NA,0,0,0,0,0,0
"MMR010703","03/24/2024","00:00-06:00","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",1,0,"YES","Unknown","YES","Unknown","Unknown","NO",NA,"Primary",NA,0,0,0,0,0,0
"MMR010704","03/22/2024","Time Unknown","Myanmar","Possible","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,2,"YES","NO","YES","YES","YES","NO",NA,NA,NA,0,0,0,0,0,0
"MMR010705","03/03/2024","Time Unknown","Myanmar","Confirmed","Removal of health care assets (e.g. transport, supplies, materials)",0,0,"YES","YES","YES","YES","YES","YES",NA,"Primary",NA,0,0,0,0,0,0
"MMR010708","02/27/2024","12:00-18:00","Myanmar","Confirmed","Removal of health care assets (e.g. transport, supplies, materials), Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",20,0,"YES","Unknown","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR010446","02/21/2024","Time Unknown","Myanmar","Confirmed","Removal of health care assets (e.g. transport, supplies, materials), Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,"NO","NO","NO","YES","YES","NO",NA,NA,NA,0,0,0,0,0,0
"MMR010248","12/18/2023","Time Unknown","Myanmar","Confirmed","Removal of health care assets (e.g. transport, supplies, materials), Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,"YES","YES","NO","YES","YES","NO",NA,NA,NA,0,0,0,0,0,0
"MMR010135","11/30/2023","12:00-18:00","Myanmar","Confirmed","Removal of health care assets (e.g. transport, supplies, materials), Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,"YES","NO","NO","YES","YES","NO",NA,NA,NA,0,0,0,0,0,0
"MMR009836","11/17/2023","Time Unknown","Myanmar","Confirmed","Removal of health care assets (e.g. transport, supplies, materials), Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,"YES","NO","NO","YES","YES","NO",NA,"Other","hospital",0,0,0,0,0,0
"MMR008997","09/25/2023","13:15","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,3,"YES","NO","NO","NO","NO","YES",NA,"Secondary",NA,0,0,0,0,0,0
"MMR009206","09/24/2023","Time Unknown","Myanmar","Confirmed","Abduction/Arrest/Detention of health personnel or patients, Militarization of a health care asset",0,0,"NO","YES","YES","NO","NO","NO",NA,NA,NA,0,1,0,0,0,0
